Yo,|tone_cr_pwr|con el fin de|seal_action||tone_action|endo|seal_cr_pwr|Sello el|timecell|de|seal_func|con el tono |tone_name|de|tone_func|Me guía|guiding_power|Soy un Portal de Activación Galáctica|Castillo:|Red Eastern Castle of Turning|White Northern Castle of Crossing|Blue Western Castle of Burning|Yellow Southern Castle of Giving|Green Central Castle of Enchantment|Onda Encantada:
23|1|2|6|AZUL|10|PLANETARIO|Perfecciona|Producir|Manifestación|3|Noche|Soñar|Intuición|Abundancia|entrada| el poder de magia|| |3|3|||||
24|1|2|6|AMARILLO|11|ESPECTRAL|Disuelve|Divulgar|Liberación|4|Semilla|Atinar|Atención|Florecimiento|entrada| mi propio poder duplicado|| |4|4|||||
25|1|2|7|ROJO|12|CRISTAL|Dedicarse|Universalizar|Cooperación|5|Serpiente|Sobrevivir|Instinto|Fuerza Vital|almacén| el poder de navegación|| |5|1|||||
26|1|2|7|BLANCO|13|CÓSMICO|Perdura|Transcender|Presencia|6|Enlazador|Igualar|Oportunidad|Muerte|almacén| el poder de corazón|| |1|2|||||
27|1|3|7|AZUL|1|MAGNÉTICO|Unifica|Atraer|Propósito|7|Mano|Conocer|Sanación|Realización|almacén| mi propio poder duplicado|| |2|3|||||
28|1|3|7|AMARILLO|2|LUNAR|Polariza|Estabilizar|Desafío|8|Estrella|Embellecer|Arte|Elegancia|almacén| el poder de fuego universal|| |3|4|||||
29|1|3|8|ROJO|3|ELÉCTRICO|Activa|Vincular|Servicio|9|Luna|Purificar|Flujo|Agua Universal|proceso| el poder de espacio|| |4|1|||||
30|1|3|8|BLANCO|4|AUTO-EXISTENTE|Define|Medir|Forma|10|Perro|Amar|Lealtad|Corazón|proceso| el poder de muerte||I am a polar kin I convert the WHITE galactic spectrum|5|2|||||
31|1|3|8|AZUL|5|ENTONADO|Confiere Poder|Comandar|Esplendor|11|Mono|Jugar|Ilusión|Magia|proceso| el poder de auto generación|| |1|3|||||
32|1|3|8|AMARILLO|6|RÍTMICO|Organiza|Equilibrar|Igualdad|12|Humano|Influenciar|Sabiduría|Libre Voluntad|proceso| mi propio poder duplicado|| |2|4|||||
33|1|3|9|ROJO|7|RESONANTE|Canaliza|Inspirar|Sintonización|13|Caminante|Explorar|Vigiliancia|Espacio|salida| el poder de fuerza vital|| |3|1|||||
34|1|3|9|BLANCO|8|GALÁCTICO|Armoniza|Modelar|Integridad|14|Mago|Encantar|Receptividad|Atemporalidad|salida| el poder de sin fin|| |4|2|||||
35|1|3|9|AZUL|9|SOLAR|Pulsa|Realizar|Intención|15|Águila|Crear|Mente|Visíon|salida| el poder de magia|| |5|3|||||
36|1|3|9|AMARILLO|10|PLANETARIO|Perfecciona|Producir|Manifestación|16|Guerrero|Cuestionar|Intrepidez|Inteligencia|salida| el poder de florecimiento|| |1|4|||||
37|1|3|10|ROJO|11|ESPECTRAL|Disuelve|Divulgar|Liberación|17|Tierra|Evolucionar|Sincronicidad|Navegación|matriz| mi propio poder duplicado|| |2|1|||||
38|1|3|10|BLANCO|12|CRISTAL|Dedicarse|Universalizar|Cooperación|18|Espejo|Reflejar|Orden|Sin Fin|matriz| el poder de corazón|| |3|2|||||
39|1|3|10|AZUL|13|CÓSMICO|Perdura|Transcender|Presencia|19|Tormenta|Catalizar|Energía|Auto Generación|matriz| el poder de abundancia|1| |4|3|||||
40|1|4|10|AMARILLO|1|MAGNÉTICO|Unifica|Atraer|Propósito|20|Sol|Iluminar|Vida|Fuego Universal|matriz| mi propio poder duplicado|| |5|4|||||
41|1|4|11|ROJO|2|LUNAR|Polariza|Estabilizar|Desafío|1|Dragón|Nutrir|Ser|Nacimiento|entrada| el poder de espacio|| |1|1|||||
42|1|4|11|BLANCO|3|ELÉCTRICO|Activa|Vincular|Servicio|2|Viento|Comunicar|Aliento|Espíritu|entrada| el poder de muerte|| |2|2|||||
43|1|4|11|AZUL|4|AUTO-EXISTENTE|Define|Medir|Forma|3|Noche|Soñar|Intuición|Abundancia|entrada| el poder de auto generación|1| |3|3|||||
44|1|4|11|AMARILLO|5|ENTONADO|Confiere Poder|Comandar|Esplendor|4|Semilla|Atinar|Atención|Florecimiento|entrada| el poder de libre voluntad|| |4|4|||||
45|1|4|12|ROJO|6|RÍTMICO|Organiza|Equilibrar|Igualdad|5|Serpiente|Sobrevivir|Instinto|Fuerza Vital|almacén| mi propio poder duplicado|| |5|1|||||
46|1|4|12|BLANCO|7|RESONANTE|Canaliza|Inspirar|Sintonización|6|Enlazador|Igualar|Oportunidad|Muerte|almacén| el poder de sin fin|| |1|2|||||
47|1|4|12|AZUL|8|GALÁCTICO|Armoniza|Modelar|Integridad|7|Mano|Conocer|Sanación|Realización|almacén| el poder de magia|| |2|3|||||
48|1|4|12|AMARILLO|9|SOLAR|Pulsa|Realizar|Intención|8|Estrella|Embellecer|Arte|Elegancia|almacén| el poder de florecimiento|| |3|4|||||
49|1|4|13|ROJO|10|PLANETARIO|Perfecciona|Producir|Manifestación|9|Luna|Purificar|Flujo|Agua Universal|proceso| el poder de navegación|| |4|1|||||
50|1|4|13|BLANCO|11|ESPECTRAL|Disuelve|Divulgar|Liberación|10|Perro|Amar|Lealtad|Corazón|proceso| mi propio poder duplicado|1|I am a polar kin I transport the WHITE galactic spectrum |5|2|||||
51|1|4|13|AZUL|12|CRISTAL|Dedicarse|Universalizar|Cooperación|11|Mono|Jugar|Ilusión|Magia|proceso| el poder de abundancia|1| |1|3|||||
52|1|4|13|AMARILLO|13|CÓSMICO|Perdura|Transcender|Presencia|12|Humano|Influenciar|Sabiduría|Libre Voluntad|proceso| el poder de inteligencia|| |2|4|||||
53|2|5|14|ROJO|1|MAGNÉTICO|Unifica|Atraer|Propósito|13|Caminante|Explorar|Vigiliancia|Espacio|salida| mi propio poder duplicado|| |3|1|||||
54|2|5|14|BLANCO|2|LUNAR|Polariza|Estabilizar|Desafío|14|Mago|Encantar|Receptividad|Atemporalidad|salida| el poder de muerte|| |4|2|||||
55|2|5|14|AZUL|3|ELÉCTRICO|Activa|Vincular|Servicio|15|Águila|Crear|Mente|Visíon|salida| el poder de auto generación||I am a polar kin I establish the BLUE galactic spectrum|5|3|||||
56|2|5|14|AMARILLO|4|AUTO-EXISTENTE|Define|Medir|Forma|16|Guerrero|Cuestionar|Intrepidez|Inteligencia|salida| el poder de libre voluntad|| |1|4|||||
57|2|5|15|ROJO|5|ENTONADO|Confiere Poder|Comandar|Esplendor|17|Tierra|Evolucionar|Sincronicidad|Navegación|matriz| el poder de fuerza vital|| |2|1|||||
58|2|5|15|BLANCO|6|RÍTMICO|Organiza|Equilibrar|Igualdad|18|Espejo|Reflejar|Orden|Sin Fin|matriz| mi propio poder duplicado|1| |3|2|||||
59|2|5|15|AZUL|7|RESONANTE|Canaliza|Inspirar|Sintonización|19|Tormenta|Catalizar|Energía|Auto Generación|matriz| el poder de magia|| |4|3|||||
60|2|5|15|AMARILLO|8|GALÁCTICO|Armoniza|Modelar|Integridad|20|Sol|Iluminar|Vida|Fuego Universal|matriz| el poder de florecimiento|| |5|4|||||
61|2|5|16|ROJO|9|SOLAR|Pulsa|Realizar|Intención|1|Dragón|Nutrir|Ser|Nacimiento|entrada| el poder de navegación|| |1|1|||||
62|2|5|16|BLANCO|10|PLANETARIO|Perfecciona|Producir|Manifestación|2|Viento|Comunicar|Aliento|Espíritu|entrada| el poder de corazón|| |2|2|||||
63|2|5|16|AZUL|11|ESPECTRAL|Disuelve|Divulgar|Liberación|3|Noche|Soñar|Intuición|Abundancia|entrada| mi propio poder duplicado|| |3|3|||||
64|2|5|16|AMARILLO|12|CRISTAL|Dedicarse|Universalizar|Cooperación|4|Semilla|Atinar|Atención|Florecimiento|entrada| el poder de inteligencia|1| |4|4|||||
65|2|5|17|ROJO|13|CÓSMICO|Perdura|Transcender|Presencia|5|Serpiente|Sobrevivir|Instinto|Fuerza Vital|almacén| el poder de agua universal|| |5|1|||||
66|2|6|17|BLANCO|1|MAGNÉTICO|Unifica|Atraer|Propósito|6|Enlazador|Igualar|Oportunidad|Muerte|almacén| mi propio poder duplicado|| |1|2|||||
67|2|6|17|AZUL|2|LUNAR|Polariza|Estabilizar|Desafío|7|Mano|Conocer|Sanación|Realización|almacén| el poder de auto generación|| |2|3|||||
68|2|6|17|AMARILLO|3|ELÉCTRICO|Activa|Vincular|Servicio|8|Estrella|Embellecer|Arte|Elegancia|almacén| el poder de libre voluntad|| |3|4|||||
69|2|6|18|ROJO|4|AUTO-EXISTENTE|Define|Medir|Forma|9|Luna|Purificar|Flujo|Agua Universal|proceso| el poder de fuerza vital|1| |4|1|||||
70|2|6|18|BLANCO|5|ENTONADO|Confiere Poder|Comandar|Esplendor|10|Perro|Amar|Lealtad|Corazón|proceso| el poder de sin fin|| |5|2|||||
71|2|6|18|AZUL|6|RÍTMICO|Organiza|Equilibrar|Igualdad|11|Mono|Jugar|Ilusión|Magia|proceso| mi propio poder duplicado|| |1|3|||||
72|2|6|18|AMARILLO|7|RESONANTE|Canaliza|Inspirar|Sintonización|12|Humano|Influenciar|Sabiduría|Libre Voluntad|proceso| el poder de florecimiento|1| |2|4|||||
73|2|6|19|ROJO|8|GALÁCTICO|Armoniza|Modelar|Integridad|13|Caminante|Explorar|Vigiliancia|Espacio|salida| el poder de navegación|| |3|1|||||
74|2|6|19|BLANCO|9|SOLAR|Pulsa|Realizar|Intención|14|Mago|Encantar|Receptividad|Atemporalidad|salida| el poder de corazón|| |4|2|||||
75|2|6|19|AZUL|10|PLANETARIO|Perfecciona|Producir|Manifestación|15|Águila|Crear|Mente|Visíon|salida| el poder de abundancia||I am a polar kin I extend the BLUE galactic spectrum|5|3|||||
76|2|6|19|AMARILLO|11|ESPECTRAL|Disuelve|Divulgar|Liberación|16|Guerrero|Cuestionar|Intrepidez|Inteligencia|salida| mi propio poder duplicado|| |1|4|||||
77|2|6|20|ROJO|12|CRISTAL|Dedicarse|Universalizar|Cooperación|17|Tierra|Evolucionar|Sincronicidad|Navegación|matriz| el poder de agua universal|1| |2|1|||||
78|2|6|20|BLANCO|13|CÓSMICO|Perdura|Transcender|Presencia|18|Espejo|Reflejar|Orden|Sin Fin|matriz| el poder de espiritu|| |3|2|||||
79|2|7|20|AZUL|1|MAGNÉTICO|Unifica|Atraer|Propósito|19|Tormenta|Catalizar|Energía|Auto Generación|matriz| mi propio poder duplicado|| |4|3|||||
80|2|7|20|AMARILLO|2|LUNAR|Polariza|Estabilizar|Desafío|20|Sol|Iluminar|Vida|Fuego Universal|matriz| el poder de libre voluntad|| |5|4|||||
81|2|7|21|ROJO|3|ELÉCTRICO|Activa|Vincular|Servicio|1|Dragón|Nutrir|Ser|Nacimiento|entrada| el poder de fuerza vital|| |1|1|||||
82|2|7|21|BLANCO|4|AUTO-EXISTENTE|Define|Medir|Forma|2|Viento|Comunicar|Aliento|Espíritu|entrada| el poder de sin fin|| |2|2|||||
83|2|7|21|AZUL|5|ENTONADO|Confiere Poder|Comandar|Esplendor|3|Noche|Soñar|Intuición|Abundancia|entrada| el poder de magia|| |3|3|||||
84|2|7|21|AMARILLO|6|RÍTMICO|Organiza|Equilibrar|Igualdad|4|Semilla|Atinar|Atención|Florecimiento|entrada| mi propio poder duplicado|| |4|4|||||
85|2|7|22|ROJO|7|RESONANTE|Canaliza|Inspirar|Sintonización|5|Serpiente|Sobrevivir|Instinto|Fuerza Vital|almacén| el poder de navegación|1| |5|1|||||
86|2|7|22|BLANCO|8|GALÁCTICO|Armoniza|Modelar|Integridad|6|Enlazador|Igualar|Oportunidad|Muerte|almacén| el poder de corazón|| |1|2|||||
87|2|7|22|AZUL|9|SOLAR|Pulsa|Realizar|Intención|7|Mano|Conocer|Sanación|Realización|almacén| el poder de abundancia|| |2|3|||||
88|2|7|22|AMARILLO|10|PLANETARIO|Perfecciona|Producir|Manifestación|8|Estrella|Embellecer|Arte|Elegancia|almacén| el poder de inteligencia|1| |3|4|||||
89|2|7|23|ROJO|11|ESPECTRAL|Disuelve|Divulgar|Liberación|9|Luna|Purificar|Flujo|Agua Universal|proceso| mi propio poder duplicado|| |4|1|||||
90|2|7|23|BLANCO|12|CRISTAL|Dedicarse|Universalizar|Cooperación|10|Perro|Amar|Lealtad|Corazón|proceso| el poder de sin fin|| |5|2|||||
91|2|7|23|AZUL|13|CÓSMICO|Perdura|Transcender|Presencia|11|Mono|Jugar|Ilusión|Magia|proceso| el poder de visión|| |1|3|||||
92|2|8|23|AMARILLO|1|MAGNÉTICO|Unifica|Atraer|Propósito|12|Humano|Influenciar|Sabiduría|Libre Voluntad|proceso| mi propio poder duplicado|| |2|4|||||
93|2|8|24|ROJO|2|LUNAR|Polariza|Estabilizar|Desafío|13|Caminante|Explorar|Vigiliancia|Espacio|salida| el poder de fuerza vital|1| |3|1|||||
94|2|8|24|BLANCO|3|ELÉCTRICO|Activa|Vincular|Servicio|14|Mago|Encantar|Receptividad|Atemporalidad|salida| el poder de sin fin|| |4|2|||||
95|2|8|24|AZUL|4|AUTO-EXISTENTE|Define|Medir|Forma|15|Águila|Crear|Mente|Visíon|salida| el poder de magia||I am a polar kin I convert the BLUE galactic spectrum|5|3|||||
96|2|8|24|AMARILLO|5|ENTONADO|Confiere Poder|Comandar|Esplendor|16|Guerrero|Cuestionar|Intrepidez|Inteligencia|salida| el poder de florecimiento|1| |1|4|||||
97|2|8|25|ROJO|6|RÍTMICO|Organiza|Equilibrar|Igualdad|17|Tierra|Evolucionar|Sincronicidad|Navegación|matriz| mi propio poder duplicado|| |2|1|||||
98|2|8|25|BLANCO|7|RESONANTE|Canaliza|Inspirar|Sintonización|18|Espejo|Reflejar|Orden|Sin Fin|matriz| el poder de corazón|| |3|2|||||
99|2|8|25|AZUL|8|GALÁCTICO|Armoniza|Modelar|Integridad|19|Tormenta|Catalizar|Energía|Auto Generación|matriz| el poder de abundancia|| |4|3|||||
100|2|8|25|AMARILLO|9|SOLAR|Pulsa|Realizar|Intención|20|Sol|Iluminar|Vida|Fuego Universal|matriz| el poder de inteligencia|| |5|4|||||
101|2|8|26|ROJO|10|PLANETARIO|Perfecciona|Producir|Manifestación|1|Dragón|Nutrir|Ser|Nacimiento|entrada| el poder de agua universal|| |1|1|||||
102|2|8|26|BLANCO|11|ESPECTRAL|Disuelve|Divulgar|Liberación|2|Viento|Comunicar|Aliento|Espíritu|entrada| mi propio poder duplicado|| |2|2|||||
103|2|8|26|AZUL|12|CRISTAL|Dedicarse|Universalizar|Cooperación|3|Noche|Soñar|Intuición|Abundancia|entrada| el poder de visión|| |3|3|||||
104|2|8|26|AMARILLO|13|CÓSMICO|Perdura|Transcender|Presencia|4|Semilla|Atinar|Atención|Florecimiento|entrada| el poder de elegance|| |4|4|||||
105|3|9|27|ROJO|1|MAGNÉTICO|Unifica|Atraer|Propósito|5|Serpiente|Sobrevivir|Instinto|Fuerza Vital|almacén| mi propio poder duplicado|| |5|1|||||
106|3|9|27|BLANCO|2|LUNAR|Polariza|Estabilizar|Desafío|6|Enlazador|Igualar|Oportunidad|Muerte|almacén| el poder de magia|1| |1|2|||||
107|3|9|27|AZUL|3|ELÉCTRICO|Activa|Vincular|Servicio|7|Mano|Conocer|Sanación|Realización|almacén| el poder de magia|1| |2|3|||||
108|3|9|27|AMARILLO|4|AUTO-EXISTENTE|Define|Medir|Forma|8|Estrella|Embellecer|Arte|Elegancia|almacén| el poder de florecimiento|1| |3|4|||||
109|3|9|28|ROJO|5|ENTONADO|Confiere Poder|Comandar|Esplendor|9|Luna|Purificar|Flujo|Agua Universal|proceso| el poder de navegación|1| |4|1|||||
110|3|9|28|BLANCO|6|RÍTMICO|Organiza|Equilibrar|Igualdad|10|Perro|Amar|Lealtad|Corazón|proceso| mi propio poder duplicado|1| |5|2|||||
111|3|9|28|AZUL|7|RESONANTE|Canaliza|Inspirar|Sintonización|11|Mono|Jugar|Ilusión|Magia|proceso| el poder de abundancia|1| |1|3|||||
112|3|9|28|AMARILLO|8|GALÁCTICO|Armoniza|Modelar|Integridad|12|Humano|Influenciar|Sabiduría|Libre Voluntad|proceso| el poder de inteligencia|1| |2|4|||||
113|3|9|29|ROJO|9|SOLAR|Pulsa|Realizar|Intención|13|Caminante|Explorar|Vigiliancia|Espacio|salida| el poder de agua universal|1| |3|1|||||
114|3|9|29|BLANCO|10|PLANETARIO|Perfecciona|Producir|Manifestación|14|Mago|Encantar|Receptividad|Atemporalidad|salida| el poder de espiritu|1| |4|2|||||
115|3|9|29|AZUL|11|ESPECTRAL|Disuelve|Divulgar|Liberación|15|Águila|Crear|Mente|Visíon|salida| mi propio poder duplicado|1|I am a polar kin I transport the BLUE galactic spectrum|5|3|||||
116|3|9|29|AMARILLO|12|CRISTAL|Dedicarse|Universalizar|Cooperación|16|Guerrero|Cuestionar|Intrepidez|Inteligencia|salida| el poder de elegance|| |1|4|||||
117|3|9|30|ROJO|13|CÓSMICO|Perdura|Transcender|Presencia|17|Tierra|Evolucionar|Sincronicidad|Navegación|matriz| el poder de birth|| |2|1|||||
118|3|10|30|BLANCO|1|MAGNÉTICO|Unifica|Atraer|Propósito|18|Espejo|Reflejar|Orden|Sin Fin|matriz| mi propio poder duplicado|| |3|2|||||
119|3|10|30|AZUL|2|LUNAR|Polariza|Estabilizar|Desafío|19|Tormenta|Catalizar|Energía|Auto Generación|matriz| el poder de magia|| |4|3|||||
120|3|10|30|AMARILLO|3|ELÉCTRICO|Activa|Vincular|Servicio|20|Sol|Iluminar|Vida|Fuego Universal|matriz| el poder de florecimiento||I am a polar kin I establish the YELLOW galactic spectrum|5|4|||||
121|3|10|31|ROJO|4|AUTO-EXISTENTE|Define|Medir|Forma|1|Dragón|Nutrir|Ser|Nacimiento|entrada| el poder de navegación|| |1|1|||||
122|3|10|31|BLANCO|5|ENTONADO|Confiere Poder|Comandar|Esplendor|2|Viento|Comunicar|Aliento|Espíritu|entrada| el poder de corazón|| |2|2|||||
123|3|10|31|AZUL|6|RÍTMICO|Organiza|Equilibrar|Igualdad|3|Noche|Soñar|Intuición|Abundancia|entrada| mi propio poder duplicado|| |3|3|||||
124|3|10|31|AMARILLO|7|RESONANTE|Canaliza|Inspirar|Sintonización|4|Semilla|Atinar|Atención|Florecimiento|entrada| el poder de inteligencia|| |4|4|||||
125|3|10|32|ROJO|8|GALÁCTICO|Armoniza|Modelar|Integridad|5|Serpiente|Sobrevivir|Instinto|Fuerza Vital|almacén| el poder de agua universal|| |5|1|||||
126|3|10|32|BLANCO|9|SOLAR|Pulsa|Realizar|Intención|6|Enlazador|Igualar|Oportunidad|Muerte|almacén| el poder de espiritu|| |1|2|||||
127|3|10|32|AZUL|10|PLANETARIO|Perfecciona|Producir|Manifestación|7|Mano|Conocer|Sanación|Realización|almacén| el poder de visión|| |2|3|||||
128|3|10|32|AMARILLO|11|ESPECTRAL|Disuelve|Divulgar|Liberación|8|Estrella|Embellecer|Arte|Elegancia|almacén| mi propio poder duplicado|| |3|4|||||
129|3|10|33|ROJO|12|CRISTAL|Dedicarse|Universalizar|Cooperación|9|Luna|Purificar|Flujo|Agua Universal|proceso| el poder de birth|| |4|1|||||
130|3|10|33|BLANCO|13|CÓSMICO|Perdura|Transcender|Presencia|10|Perro|Amar|Lealtad|Corazón|proceso| el poder de atemporalidad|| |5|2|||||
131|3|11|33|AZUL|1|MAGNÉTICO|Unifica|Atraer|Propósito|11|Mono|Jugar|Ilusión|Magia|proceso| mi propio poder duplicado|| |1|3|||||
132|3|11|33|AMARILLO|2|LUNAR|Polariza|Estabilizar|Desafío|12|Humano|Influenciar|Sabiduría|Libre Voluntad|proceso| el poder de florecimiento|| |2|4|||||
133|3|11|34|ROJO|3|ELÉCTRICO|Activa|Vincular|Servicio|13|Caminante|Explorar|Vigiliancia|Espacio|salida| el poder de navegación|| |3|1|||||
134|3|11|34|BLANCO|4|AUTO-EXISTENTE|Define|Medir|Forma|14|Mago|Encantar|Receptividad|Atemporalidad|salida| el poder de corazón|| |4|2|||||
135|3|11|34|AZUL|5|ENTONADO|Confiere Poder|Comandar|Esplendor|15|Águila|Crear|Mente|Visíon|salida| el poder de abundancia|| |5|3|||||
136|3|11|34|AMARILLO|6|RÍTMICO|Organiza|Equilibrar|Igualdad|16|Guerrero|Cuestionar|Intrepidez|Inteligencia|salida| mi propio poder duplicado|| |1|4|||||
137|3|11|35|ROJO|7|RESONANTE|Canaliza|Inspirar|Sintonización|17|Tierra|Evolucionar|Sincronicidad|Navegación|matriz| el poder de agua universal|| |2|1|||||
138|3|11|35|BLANCO|8|GALÁCTICO|Armoniza|Modelar|Integridad|18|Espejo|Reflejar|Orden|Sin Fin|matriz| el poder de espiritu|| |3|2|||||
139|3|11|35|AZUL|9|SOLAR|Pulsa|Realizar|Intención|19|Tormenta|Catalizar|Energía|Auto Generación|matriz| el poder de visión|| |4|3|||||
140|3|11|35|AMARILLO|10|PLANETARIO|Perfecciona|Producir|Manifestación|20|Sol|Iluminar|Vida|Fuego Universal|matriz| el poder de elegance||I am a polar kin I extend the YELLOW galactic spectrum |5|4|||||
141|3|11|36|ROJO|11|ESPECTRAL|Disuelve|Divulgar|Liberación|1|Dragón|Nutrir|Ser|Nacimiento|entrada| mi propio poder duplicado|| |1|1|||||
142|3|11|36|BLANCO|12|CRISTAL|Dedicarse|Universalizar|Cooperación|2|Viento|Comunicar|Aliento|Espíritu|entrada| el poder de atemporalidad|| |2|2|||||
143|3|11|36|AZUL|13|CÓSMICO|Perdura|Transcender|Presencia|3|Noche|Soñar|Intuición|Abundancia|entrada| el poder de realización|| |3|3|||||
144|3|12|36|AMARILLO|1|MAGNÉTICO|Unifica|Atraer|Propósito|4|Semilla|Atinar|Atención|Florecimiento|entrada| mi propio poder duplicado|| |4|4|||||
145|3|12|37|ROJO|2|LUNAR|Polariza|Estabilizar|Desafío|5|Serpiente|Sobrevivir|Instinto|Fuerza Vital|almacén| el poder de navegación|| |5|1|||||
146|3|12|37|BLANCO|3|ELÉCTRICO|Activa|Vincular|Servicio|6|Enlazador|Igualar|Oportunidad|Muerte|almacén| el poder de corazón|1| |1|2|||||
147|3|12|37|AZUL|4|AUTO-EXISTENTE|Define|Medir|Forma|7|Mano|Conocer|Sanación|Realización|almacén| el poder de abundancia|1| |2|3|||||
148|3|12|37|AMARILLO|5|ENTONADO|Confiere Poder|Comandar|Esplendor|8|Estrella|Embellecer|Arte|Elegancia|almacén| el poder de inteligencia|1| |3|4|||||
149|3|12|38|ROJO|6|RÍTMICO|Organiza|Equilibrar|Igualdad|9|Luna|Purificar|Flujo|Agua Universal|proceso| mi propio poder duplicado|1| |4|1|||||
150|3|12|38|BLANCO|7|RESONANTE|Canaliza|Inspirar|Sintonización|10|Perro|Amar|Lealtad|Corazón|proceso| el poder de espiritu|1| |5|2|||||
151|3|12|38|AZUL|8|GALÁCTICO|Armoniza|Modelar|Integridad|11|Mono|Jugar|Ilusión|Magia|proceso| el poder de visión|1| |1|3|||||
152|3|12|38|AMARILLO|9|SOLAR|Pulsa|Realizar|Intención|12|Humano|Influenciar|Sabiduría|Libre Voluntad|proceso| el poder de elegance|1| |2|4|||||
153|3|12|39|ROJO|10|PLANETARIO|Perfecciona|Producir|Manifestación|13|Caminante|Explorar|Vigiliancia|Espacio|salida| el poder de birth|1| |3|1|||||
154|3|12|39|BLANCO|11|ESPECTRAL|Disuelve|Divulgar|Liberación|14|Mago|Encantar|Receptividad|Atemporalidad|salida| mi propio poder duplicado|1| |4|2|||||
